SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400211,2024-11-10T00:00:00,LAL vs. TOR,W,21.366666666666667,4,6,0.667,0,0,0.0,4,6,0.667,3,3,6,1,0,0,1,0,4,6,12,21,23.7,0,0,21.0,1,1,1,1,19,4,5,24,1,4,1,1,2,15,2,19,13,15,24,20,14,1,36,1,3,3,11,3,1,9,1,21:22
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400195,2024-11-08T00:00:00,LAL vs. PHI,W,15.55,3,4,0.75,0,0,0.0,2,2,1.0,1,1,2,0,0,0,4,0,3,1,8,0,22.4,0,0,18.0,1,1,1,1,30,14,19,22,1,4,1,8,11,1,20,32,33,28,24,20,1,1,26,22,14,29,15,3,1,16,1,15:33
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400174,2024-11-06T00:00:00,LAL @ MEM,L,34.666666666666664,3,6,0.5,0,0,0.0,2,2,1.0,2,8,10,1,1,0,0,1,5,2,8,-13,20.5,0,0,19.0,1,32,32,32,1,14,5,33,1,4,1,8,11,1,8,3,3,15,10,20,29,38,42,12,14,41,16,3,1,15,1,34:40
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400156,2024-11-04T00:00:00,LAL @ DET,L,9.183333333333334,2,5,0.4,0,0,0.0,1,3,0.333,3,0,3,0,0,1,0,0,0,3,5,-12,11.6,0,0,10.0,1,32,32,32,42,24,10,40,1,4,1,19,7,27,2,41,26,28,24,6,29,1,1,9,27,40,36,3,1,35,1,9:11
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400137,2024-11-01T00:00:00,LAL @ TOR,W,15.046666666666667,1,1,1.0,0,0,0.0,2,2,1.0,3,3,6,0,0,0,2,0,3,2,4,2,17.2,0,0,14.0,1,1,1,1,32,38,40,1,1,4,1,8,11,1,2,19,13,28,24,20,3,1,26,12,30,25,26,3,1,26,1,15:03
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400118,2024-10-30T00:00:00,LAL @ CLE,L,19.066666666666666,2,2,1.0,0,0,0.0,2,2,1.0,2,1,3,2,1,1,0,0,2,2,6,-11,14.6,0,0,13.0,1,32,32,32,21,24,31,1,1,4,1,8,11,1,8,32,26,8,10,6,29,1,14,12,21,39,31,3,1,29,1,19:04
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400111,2024-10-28T00:00:00,LAL @ PHX,L,12.495,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,3,0,0,0,2,1,0,-18,1.8,0,0,4.0,1,32,32,32,38,41,43,41,1,4,1,28,30,28,36,14,21,28,1,20,29,1,14,22,43,43,44,3,1,42,1,12:30
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400096,2024-10-26T00:00:00,LAL vs. SAC,W,14.466666666666667,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,2,1,4,24,7.9,0,0,7.0,1,1,1,1,34,24,31,1,1,4,1,28,30,28,20,32,33,15,24,20,29,1,14,22,30,2,40,3,1,39,1,14:28
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400085,2024-10-25T00:00:00,LAL vs. PHX,W,17.533333333333335,3,3,1.0,0,0,0.0,0,0,0.0,1,5,6,4,1,1,1,0,3,0,6,5,24.2,0,0,20.0,1,1,1,1,25,14,26,1,1,4,1,28,30,28,20,9,13,1,10,6,14,1,26,38,21,17,10,3,1,11,1,17:32
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400062,2024-10-22T00:00:00,LAL vs. MIN,W,15.333333333333334,4,5,0.8,0,0,0.0,2,2,1.0,3,1,4,0,0,0,1,0,3,1,10,-1,17.8,0,0,16.0,1,1,1,1,31,4,10,16,1,4,1,8,11,1,2,32,21,28,24,20,14,1,26,22,6,31,22,3,1,21,1,15:20
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301195,2024-04-14T00:00:00,LAL @ NOP,W,12.133333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,1,0,0,3,3.6,0,0,3.0,1,1,1,1,31,50,58,50,1,8,1,28,34,28,38,13,25,27,29,24,25,1,18,43,53,18,54,3,1,52,1,12:08
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301177,2024-04-12T00:00:00,LAL @ MEM,W,5.183333333333334,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,0,2,1,7.4,0,0,6.0,1,1,1,1,62,32,31,42,1,8,1,28,34,28,38,22,31,27,29,24,5,55,1,43,40,25,35,3,1,36,1,5:11
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301155,2024-04-09T00:00:00,LAL vs. GSW,L,28.316666666666666,5,6,0.833,0,0,0.0,1,2,0.5,3,3,6,1,2,1,1,0,4,1,11,-7,23.7,0,0,22.0,1,42,42,42,4,4,5,26,1,8,1,15,12,20,6,13,10,7,3,6,5,1,60,21,4,56,8,3,1,5,1,28:19
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301143,2024-04-07T00:00:00,LAL vs. MIN,L,32.6,8,9,0.889,0,0,0.0,3,5,0.6,2,8,10,0,3,5,1,0,3,4,19,-14,46.0,1,0,41.0,1,42,42,42,2,1,1,24,1,8,1,4,2,19,10,2,2,27,1,1,5,1,49,2,1,68,1,1,1,1,1,32:36
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301127,2024-04-06T00:00:00,LAL vs. CLE,W,11.683333333333334,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0,1,1,2,0,2,0,4,11,15.6,0,0,13.0,1,1,1,1,32,24,31,1,1,8,1,28,34,28,16,22,25,27,14,6,2,1,38,43,26,3,19,3,1,21,1,11:41
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301103,2024-04-03T00:00:00,LAL @ WAS,W,9.86,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,2,1,0,0,0,1,1,3,-24,5.0,0,0,5.0,1,1,1,1,42,32,39,1,1,8,1,15,12,20,38,57,61,2,14,24,25,1,18,21,36,69,46,3,1,43,1,9:52
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301094,2024-04-02T00:00:00,LAL @ TOR,W,18.55,3,5,0.6,0,0,0.0,1,1,1.0,4,3,7,2,1,0,0,1,4,1,7,6,17.4,0,0,16.0,1,1,1,1,13,13,9,40,1,8,1,15,26,1,3,13,5,2,14,24,25,55,60,21,16,7,14,3,1,12,1,18:33
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301063,2024-03-29T00:00:00,LAL @ IND,L,10.5,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,0,1,0,2,-7,7.4,0,0,6.0,1,42,42,42,40,32,39,1,1,8,1,28,34,28,16,37,31,2,29,24,25,1,18,43,40,56,35,3,1,36,1,10:30
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301055,2024-03-27T00:00:00,LAL @ MEM,W,30.5,6,7,0.857,0,0,0.0,2,2,1.0,1,6,7,1,1,1,1,0,5,3,14,6,28.9,0,0,26.0,1,1,1,1,3,2,3,25,1,8,1,8,12,1,16,4,5,7,14,6,5,1,68,7,3,7,3,3,1,3,1,30:30
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301045,2024-03-26T00:00:00,LAL @ MIL,W,16.935,1,1,1.0,0,0,0.0,0,1,0.0,1,3,4,0,3,0,0,0,3,2,2,-5,3.8,0,0,6.0,1,1,1,1,19,32,39,1,1,8,1,28,26,28,16,13,18,27,1,24,25,1,49,11,40,47,53,3,1,36,1,16:56
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301032,2024-03-24T00:00:00,LAL vs. IND,W,7.99,1,3,0.333,0,0,0.0,2,2,1.0,3,1,4,0,0,0,0,0,0,2,4,-6,8.8,0,0,8.0,1,1,1,1,49,32,24,47,1,8,1,8,12,1,6,37,18,27,29,24,25,1,1,11,26,52,31,3,1,31,1,7:59
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22301018,2024-03-22T00:00:00,LAL vs. PHI,W,8.333333333333334,1,1,1.0,0,0,0.0,3,4,0.75,1,4,5,1,0,0,0,0,0,2,5,3,12.5,0,0,11.0,1,1,1,1,47,32,39,1,1,8,1,4,5,13,16,7,14,7,29,24,25,1,1,11,25,18,25,3,1,27,1,8:20
2023-24,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22300990,2024-03-18T00:00:00,LAL vs. ATL,W,16.783333333333335,3,4,0.75,0,0,0.0,1,2,0.5,1,2,3,0,0,0,1,0,2,1,7,3,13.6,0,0,12.0,1,1,1,1,20,13,13,28,1,8,1,15,12,20,16,22,25,27,29,24,5,1,38,21,16,18,23,3,1,23,1,16:47
